Gene,baseMean,log2_FoldChange,FC,lfcSE,stat,pvalue,padj,minus_log10_pvalue
Clcf1,151.9171081,-0.457792956,0.728099258,0.256109807,-1.787487019,0.073858808,0.396113673,1.131597706
Clcn2,455.5865318,0.384079644,1.305026989,0.168038725,2.285661496,0.022274069,0.200168592,1.652200439
Cldn12,695.237864,0.369168678,1.291608354,0.177012198,2.085555018,0.03701895,0.271186551,1.431575904
Cldn4,26.9618819,-0.963856133,0.512684742,0.297276133,-3.242292358,0.001185723,0.02860305,2.926016756
Cldn6,16.74656572,-0.566460431,0.675271498,0.299148967,-1.89357308,0.058281699,0.347538676,1.234467796
Cldn7,25.0818486,-0.999206446,0.500275101,0.295822137,-3.377727091,0.000730876,0.020275447,3.136156299
Clec4f,2711.460395,0.630268818,1.547853379,0.247032489,2.551360031,0.010730342,0.125991386,1.969386436
Clec5a,18.87874842,-0.802366146,0.573407967,0.295904542,-2.711570904,0.006696522,0.092483024,2.1741507
Clec7a,1605.284422,-0.665483811,0.630477237,0.201722181,-3.299011581,0.000970259,0.024713525,3.01311232
Clic1,517.0647292,-0.461431669,0.726265186,0.202754316,-2.275816749,0.02285698,0.20411331,1.640981152
Clic6,11.8896928,-0.715027542,0.609193502,0.296031512,-2.415376447,0.015718954,0.161635437,1.803576357
Clip2,172.5549452,-0.739111919,0.599108032,0.211553356,-3.493737619,0.000476309,0.014771404,3.322111212
Clmn,1940.663956,0.325608639,1.253193019,0.176178982,1.848169598,0.064577812,0.369992347,1.189916674
Clmp,42.40828474,-0.957836285,0.51482846,0.275280473,-3.479492299,0.000502365,0.015299946,3.298980626
Cln6,266.0890819,-0.775839101,0.584048831,0.177759038,-4.36455502,1.27E-05,0.000895894,4.896196279
Clock,714.0694853,0.344497073,1.269708282,0.196705648,1.751332903,0.079888583,0.411389468,1.097515282
Clpx,4906.284909,0.673839565,1.595313063,0.219938199,3.063767769,0.002185685,0.043890869,2.660412428
Clu,39957.31965,-0.340533896,0.789748997,0.200564017,-1.697881309,0.089530166,0.434573771,1.04803061
Cmah,396.283705,0.466079076,1.381350159,0.237700503,1.960782876,0.049904356,0.319693521,1.301861544
Cmbl,2200.486384,0.434628853,1.351563086,0.157300325,2.763051213,0.005726378,0.082826552,2.242119987
Cml1,435.6903383,0.573795587,1.488434346,0.258262446,2.221753858,0.026299945,0.221617835,1.58004516
Cmtm3,220.2738279,-0.421268432,0.74676777,0.199113939,-2.115715426,0.034369018,0.260047363,1.463832876
Cmtm4,1061.478353,0.262240898,1.19934016,0.143918684,1.822146302,0.06843279,0.381362331,1.164735753
Cndp2,972.776797,-0.590454139,0.664133814,0.164458721,-3.590287796,0.000330313,0.011180703,3.481074334
Cnksr1,14.54183186,-0.628767844,0.646728528,0.299471833,-2.099589256,0.035764989,0.267055015,1.446541904
Cnn1,15.3338668,0.723203988,1.650844219,0.295686069,2.445850733,0.014451082,0.152657493,1.840099635
Cnn2,170.842577,-0.661231934,0.632338106,0.21858855,-3.025007181,0.002486272,0.048144644,2.604451361
Cnp,220.1678681,-0.437943842,0.738185937,0.20868446,-2.098593451,0.035852754,0.267113497,1.445477479
Cnst,290.2577561,0.39648498,1.31629694,0.197563945,2.00686912,0.044763601,0.301991052,1.349074984
Cntfr,48.42772907,0.499901999,1.414117499,0.257578742,1.94077351,0.052285755,0.327549595,1.281616616
Cntrl,507.4171822,0.301311321,1.232263957,0.191557662,1.572953636,0.115729554,0.49080254,0.936555721
Coasy,1070.956933,0.290208762,1.22281721,0.179457536,1.617144467,0.1058471,0.471480382,0.975321036
Cog5,91.89554309,0.3884989,1.30903067,0.225886831,1.719882908,0.085453728,0.425667006,1.068268986
Col11a2,28.42945643,0.810588844,1.753927172,0.296986222,2.729381984,0.006345316,0.089275163,2.197546745
Col15a1,168.9283657,-1.168437719,0.444902861,0.273760933,-4.26809518,1.97E-05,0.001310323,4.705533774
Col16a1,180.4907425,-0.422962257,0.745891527,0.214614864,-1.970796657,0.048747139,0.315400859,1.312050868
Col1a1,2096.531338,-0.938735941,0.521689774,0.297016177,-3.16055493,0.001574689,0.03482601,2.802805206
Col1a2,2164.195183,-1.352583298,0.391590237,0.260102761,-5.200188163,1.99E-07,3.48E-05,6.701146924
Col20a1,44.59581248,1.239633204,2.361384879,0.271266949,4.569790787,4.88E-06,0.000409873,5.311580178
Col3a1,4475.298512,-0.943463372,0.519983096,0.296755761,-3.179258831,0.001476522,0.033385844,2.830760078
Col4a1,2321.544039,-0.87500665,0.545251353,0.215244167,-4.065181702,4.80E-05,0.00258424,4.318758763
Col4a2,1462.930287,-1.06822852,0.476904229,0.216773918,-4.927846167,8.31E-07,0.000105707,6.080398976
Col4a6,11.38305423,-0.584149721,0.667042356,0.297675509,-1.962370781,0.049719332,0.318996848,1.303474715
Col5a1,532.5969922,-0.978073746,0.5076571,0.25856177,-3.782746942,0.000155107,0.006243917,3.809368602
Col5a2,362.276976,-1.229202529,0.426553164,0.263857333,-4.658587709,3.18E-06,0.000295226,5.49757288
Col6a1,515.4862777,-0.772630635,0.585349165,0.233255486,-3.312379261,0.00092506,0.024036883,3.033830098
Col6a2,269.6322594,-1.048433469,0.483492874,0.255563922,-4.102431444,4.09E-05,0.002262675,4.388276692
Col6a3,632.2056399,-1.169265366,0.444647702,0.264931371,-4.413465122,1.02E-05,0.000759161,4.991399828
Col8a1,23.74932613,-0.578560337,0.669631668,0.295452204,-1.958219733,0.050204235,0.321130946,1.299259646
Colec10,509.7638144,0.311905001,1.241345749,0.192414805,1.621003131,0.105016967,0.469394577,0.978740529
Colec12,841.1692366,0.526899414,1.440829289,0.142778597,3.690324914,0.000223968,0.008165866,3.649814028
Commd10,131.4518963,-0.328879144,0.796154791,0.19493734,-1.687101834,0.091583772,0.440686471,1.038181473
Commd7,222.4538519,-0.337337254,0.791500818,0.172577599,-1.95469896,0.050618613,0.322488327,1.295689759
Comtd1,132.9438482,-1.057514723,0.480459016,0.209894988,-5.038303843,4.70E-07,6.89E-05,6.327902142
Copb1,1511.777841,0.216162436,1.161639516,0.138510007,1.560626852,0.118611819,0.496264075,0.925872034
Coprs,31.14402385,-0.560182715,0.678216263,0.281509542,-1.989924434,0.04659926,0.309269632,1.33162098
Cops2,742.6362721,0.289336444,1.222078063,0.173608817,1.666599938,0.095593981,0.448840759,1.019569452
Cops6,1721.084059,0.297019085,1.228603233,0.141159827,2.104133248,0.035366825,0.2647015,1.451403927
Coq7,395.4448215,-0.268245045,0.830328979,0.169287821,-1.584550169,0.113068574,0.485136569,0.946658085
Coro1a,325.5130885,-0.680252656,0.624055975,0.187560766,-3.626838768,0.000286912,0.010003519,3.542251287
Coro1c,934.0975611,-0.423780602,0.745468552,0.192114993,-2.20586949,0.027393139,0.226695102,1.562358199
Cotl1,1176.762226,-0.813897909,0.568842866,0.18593592,-4.377303262,1.20E-05,0.000871205,4.920818754
Cox6b2,42.84036434,0.710876948,1.636798749,0.269832308,2.634513833,0.008425787,0.108653239,2.074389524
Cp,33741.62844,-0.515958789,0.699328017,0.193861945,-2.66147536,0.007779903,0.10256131,2.109025818
Cpb2,4545.792593,0.317141555,1.245859651,0.12799964,2.477675373,0.01322414,0.143188398,1.878632562
Cpe,37.14460102,-1.076754944,0.474094005,0.290188275,-3.71053911,0.000206818,0.007762379,3.684411666
Cpeb2,575.6102146,0.433372168,1.350386296,0.250571862,1.729532455,0.083713843,0.421077001,1.077202721
Cpm,94.12430596,0.733623351,1.662810025,0.226184404,3.243474517,0.001180814,0.028538568,2.927818506
Cpn2,4780.386283,0.298974011,1.230269182,0.179494838,1.665641277,0.095784885,0.448883919,1.018703018
Cpne8,123.8328455,-0.750920973,0.594224101,0.21362792,-3.515088161,0.000439608,0.013887168,3.356934413
Cpox,1546.96294,0.341384282,1.266971685,0.13386332,2.550245151,0.010764719,0.126141951,1.967997302
Cpq,1140.651752,0.41575009,1.33399207,0.140335111,2.962552193,0.003051001,0.055619744,2.51555765
Cps1,66517.96951,0.297684696,1.2291702,0.18363299,1.621085058,0.104999398,0.469394577,0.978813191
Cpsf4l,58.6140191,0.433673356,1.350668242,0.263052638,1.648618162,0.099225886,0.456449083,1.003375015
Cpt2,2725.873905,0.407082833,1.326001891,0.143808572,2.830727173,0.004644232,0.072717842,2.333086093
Cpxm1,260.4168696,-1.188903663,0.438636064,0.203630364,-5.838538213,5.27E-09,1.68E-06,8.278189385
Cpz,40.87607485,-0.787335463,0.579413232,0.288556391,-2.728532407,0.006361684,0.089406881,2.196427907
Cracr2b,82.60685466,-0.566613559,0.675199828,0.220295899,-2.572056777,0.010109631,0.122515671,1.995264696
Crat,3502.880267,0.338594909,1.26452443,0.196264017,1.725201162,0.084491226,0.423484894,1.073188388
Crbn,453.3960283,0.418514898,1.336551009,0.176891051,2.36594726,0.017984006,0.174387463,1.745113561
Crcp,528.3220663,0.416855064,1.335014178,0.177686311,2.34601676,0.018975254,0.180817261,1.721812402
Creb3l1,82.74534775,-0.803906923,0.572795902,0.233430952,-3.443874584,0.000573442,0.016861034,3.241510502
Crip1,222.2633259,-0.88034142,0.543238856,0.226783127,-3.881864714,0.000103659,0.004577116,3.984392985
Crls1,1046.744872,0.279397557,1.213687965,0.173970907,1.60600161,0.108273556,0.475209492,0.9654776
Crot,8044.854878,0.666087771,1.586764219,0.167079009,3.9866634,6.70E-05,0.003290177,4.173925197
Crp,2922.03663,0.386217196,1.306962,0.174816803,2.20926816,0.027155994,0.225683376,1.566134296
Crtap,206.0601416,-0.60330547,0.658244073,0.213188428,-2.829916589,0.004656014,0.072723863,2.331985722
Cryab,61.5373914,-0.815447055,0.568232378,0.252039479,-3.235394148,0.001214749,0.029083329,2.91551345
Csad,1530.316913,-0.475102206,0.719415822,0.235018478,-2.021552563,0.043222597,0.297499223,1.364289142
Csdc2,16.8607301,-0.894618309,0.537889485,0.298736276,-2.994675838,0.002747366,0.051490396,2.561083481
Csf1,325.3054622,-0.510761131,0.70185206,0.164170564,-3.111161457,0.00186353,0.039215374,2.729663611
Csf2ra,256.6656859,-0.485936418,0.714033458,0.225533106,-2.154612368,0.03119218,0.246009527,1.505954272
Csf2rb2,492.8377986,-1.038103117,0.486967327,0.220589527,-4.706039903,2.53E-06,0.000251831,5.596879479
Csrp3,183.771265,1.022773043,2.031820625,0.256550043,3.986641477,6.70E-05,0.003290177,4.173925197
Cstb,1028.725591,-1.003884912,0.498655403,0.194592031,-5.158920973,2.48E-07,4.17E-05,6.605548319
Ctage5,3286.373369,0.214286595,1.160130094,0.134966774,1.587698868,0.112354449,0.484376732,0.949409726
Ctcflos,229.0229394,0.79273975,1.732361181,0.221547625,3.578191138,0.00034598,0.011583429,3.460949006
Ctdspl,188.3418005,-0.383732259,0.766452208,0.181650889,-2.112471126,0.03464606,0.261683461,1.460346147
Cth,8199.251175,0.501017251,1.415211082,0.170529634,2.938006953,0.003303296,0.058142569,2.481052509
Ctif,756.708096,0.300970072,1.231972516,0.16811794,1.79023174,0.073416665,0.394637766,1.134205347
Ctla2a,89.01099437,-0.432537103,0.740957601,0.228954377,-1.889184684,0.058867086,0.349071974,1.230127462
Ctnnb1,2692.126817,-0.337349051,0.791494346,0.138401952,-2.437458757,0.014790901,0.155219319,1.83000537
Ctps2,349.2628777,-0.301745581,0.81127021,0.157611914,-1.914484592,0.055558266,0.337127452,1.255251317
Ctsa,4036.611949,-0.445183334,0.734490974,0.143227729,-3.108220283,0.001882177,0.039245855,2.725339538
Ctsb,27003.06235,-0.517035446,0.698806316,0.196694229,-2.628625397,0.008573074,0.109620239,2.066863428
Ctsd,20155.54753,-0.720047591,0.607077416,0.215175274,-3.346330542,0.000818887,0.02209264,3.086776023
Ctsk,70.24981895,-1.422216965,0.373138476,0.238695717,-5.958284382,2.55E-09,9.29E-07,8.59345982
Ctso,1056.263986,0.256722225,1.194761144,0.158436742,1.620345265,0.105158131,0.469860961,0.978157141
Ctss,5641.745464,-1.003094455,0.498928693,0.206266609,-4.86309665,1.16E-06,0.000136547,5.935542011
Ctsz,6319.546226,-0.438582818,0.737859063,0.14260883,-3.075425404,0.002102025,0.042577685,2.677362123
Cttn,850.995264,-0.500652413,0.706787087,0.157604444,-3.176638936,0.001489924,0.033482634,2.826835884
Cuedc2,325.4834963,-0.427442271,0.743578896,0.18525001,-2.307380552,0.021033614,0.192408569,1.6770861
Cul4a,1374.630326,0.283276665,1.216955712,0.140814762,2.011697226,0.044251863,0.300993639,1.354068441
Cul7,167.451904,-0.366281303,0.775779575,0.216725886,-1.690067163,0.091015106,0.439275253,1.040886521
Cx3cl1,53.19630941,-0.763379832,0.589114582,0.262261315,-2.910760333,0.003605505,0.06134646,2.443033898
Cx3cr1,85.50389291,-1.751632748,0.296965502,0.264409098,-6.624706781,3.48E-11,1.94E-08,10.45842076
Cxadr,1356.397174,0.51380508,1.427811057,0.182069951,2.822020197,0.004772217,0.07367181,2.321279817
Cxcl1,93.06153572,-0.904973309,0.534042584,0.297453302,-3.042404649,0.002346962,0.046005495,2.629493942
Cxcl12,4242.606716,0.2822767,1.216112504,0.155634682,1.813713353,0.069721868,0.384660943,1.156630986
Cxcl13,19.7618458,0.779686313,1.716757555,0.292110958,2.669144352,0.007604476,0.101295113,2.118930706
Cxcl14,78.03788752,-1.170325771,0.444320998,0.246099909,-4.755490477,1.98E-06,0.000203729,5.70333481
Cxcl2,11.43500537,-0.442674616,0.735769299,0.274291334,-1.613884801,0.106552416,0.472262427,0.972436699
Cxcr4,131.0039575,-0.448075072,0.733020234,0.286906289,-1.561747124,0.118347573,0.49548339,0.926840644
Cxcr6,16.42778882,0.515943804,1.429929287,0.299568242,1.722291391,0.085016746,0.424784143,1.070495522
Cyb561,157.4215109,-0.460925117,0.726520234,0.20867805,-2.208785814,0.027189542,0.225742191,1.565598108
Cyb5d1,29.7686936,0.48327106,1.397909592,0.277346646,1.742480274,0.08142444,0.416430171,1.08924522
Cyb5d2,103.0977108,0.615003016,1.531561198,0.244790648,2.512363195,0.011992559,0.134290533,1.921088136
Cyb5r1,105.7884775,-0.378781309,0.769086989,0.209598397,-1.807176558,0.070734755,0.387859815,1.150367146
Cyba,765.2909244,-0.857986221,0.55172214,0.230709298,-3.718906114,0.000200087,0.007644657,3.698781127
Cycs,652.2461119,0.274004973,1.209159843,0.169701495,1.614629104,0.106391039,0.472033249,0.97309495
Cygb,431.6642161,-0.68982724,0.619928081,0.183702426,-3.755134077,0.000173249,0.006823539,3.761329263
Cyp17a1,1183.515788,1.476146378,2.7820462,0.217057715,6.800709104,1.04E-11,6.99E-09,10.98296666
Cyp1a2,4329.016549,0.207839956,1.154957653,0.132986687,1.562862871,0.118084852,0.495136705,0.92780581
Cyp21a1,10.659571,-0.576212965,0.670722096,0.285815758,-2.016029379,0.043796904,0.29967415,1.358556589
Cyp26a1,75.87619911,0.737436708,1.667211008,0.254332071,2.899503417,0.003737543,0.062730376,2.427413802
Cyp26b1,273.2442344,0.851484655,1.804356806,0.273710385,3.110896414,0.001865204,0.039215374,2.729273662
Cyp2a12,9252.967241,0.360053656,1.283473631,0.12006347,2.998860986,0.002709909,0.05121265,2.567045293
Cyp2a22,535.9566442,0.957359049,1.94175213,0.206630059,4.6332032,3.60E-06,0.00031907,5.443697499
Cyp2a4,3434.312416,0.615546288,1.532138044,0.261208539,2.356532032,0.018446477,0.177522993,1.734086565
Cyp2a5,3808.486592,-0.352634707,0.783152567,0.163276102,-2.159744769,0.030792433,0.244063505,1.511555995
Cyp2b13,1001.514805,1.508270165,2.84468748,0.2544486,5.927602529,3.07E-09,1.03E-06,8.512861625
Cyp2b9,2336.524903,1.648192734,3.134407455,0.190838818,8.636569596,5.79E-18,1.81E-14,17.23732144
Cyp2c37,2398.147624,1.098669034,2.141570297,0.240812938,4.562333923,5.06E-06,0.000421405,5.295849483
Cyp2c38,1087.086436,0.413559996,1.33196853,0.226046654,1.829533809,0.067319679,0.377943875,1.171857964
Cyp2c39,154.9026821,0.70480554,1.629924953,0.216646235,3.253255426,0.001140909,0.027678971,2.942748994
Cyp2c44,2475.293457,1.145370524,2.212029344,0.187937354,6.094427197,1.10E-09,4.38E-07,8.958607315
Cyp2c55,90.71806671,-0.40365654,0.755939908,0.253139033,-1.5946041,0.110800795,0.481255598,0.955457124
Cyp2c68,1557.864008,0.525751239,1.439683055,0.161100495,3.263498585,0.001100457,0.02705768,2.958426923
Cyp2c69,245.5327771,2.387005981,5.23070708,0.277382146,8.605478107,7.60E-18,1.81E-14,17.11918641
Cyp2c70,3587.580416,0.59608989,1.51161411,0.199986145,2.980655933,0.002876318,0.053272407,2.541163101
Cyp2d10,4662.126974,0.560634398,1.474917642,0.187043402,2.997349233,0.002723385,0.051334003,2.564890959
Cyp2d13,536.9721787,0.664029229,1.584501723,0.238618188,2.782810627,0.005389025,0.079578821,2.268489802
Cyp2d22,2716.684041,0.284862986,1.218294556,0.175006918,1.627724148,0.10358339,0.466797348,0.98470988
Cyp2d26,12617.05696,0.334956165,1.261339084,0.157650245,2.124678998,0.033613407,0.257776855,1.473487466
Cyp2d40,201.1129476,1.094669627,2.135641705,0.189003854,5.791784673,6.96E-09,2.12E-06,8.15739076
Cyp2d9,1949.081956,-0.621189228,0.650134794,0.221842028,-2.800142221,0.00510801,0.077323026,2.291748261
Cyp2e1,74874.27735,0.385601138,1.306404023,0.24012629,1.605826411,0.108312056,0.475209492,0.9653232
Cyp2f2,7246.936884,0.685810061,1.608604946,0.251641497,2.725345658,0.00642342,0.089994986,2.19223368
Cyp2j5,2480.768664,0.979139139,1.971288783,0.199482338,4.908400151,9.18E-07,0.000111595,6.037157319
Cyp2s1,10.32446958,-0.586983624,0.665733363,0.296274288,-1.981216894,0.047566955,0.311792878,1.322694649
Cyp39a1,1070.257965,0.342829476,1.268241486,0.197766545,1.733505916,0.083005787,0.419144297,1.080891628
Cyp3a13,2953.839787,0.602403191,1.518243499,0.149419213,4.031631396,5.54E-05,0.00286172,4.256490235
Cyp3a16,15.59009893,0.665720238,1.586360035,0.298983122,2.226614774,0.025973031,0.22037544,1.585477366
Cyp3a25,8280.927845,0.479362623,1.39412761,0.204236811,2.347092185,0.018920573,0.18045249,1.723065715
Cyp3a44,25.61051087,0.501396699,1.415583351,0.299195776,1.675814763,0.093774482,0.445654683,1.027915326
Cyp46a1,40.5656735,0.592566007,1.507926392,0.263109749,2.252162865,0.024311982,0.211194826,1.614179634
Cyp4a10,34687.83624,0.650889836,1.570136338,0.210889071,3.086408574,0.002025902,0.041236366,2.693381567
Cyp4a12b,24.21140509,-0.699242193,0.615895634,0.299110703,-2.337737123,0.019400889,0.182846933,1.712178369
Cyp4a14,75468.17126,1.036318554,2.050987293,0.184150352,5.627567608,1.83E-08,4.76E-06,7.73754891
Cyp4b1,246.8923189,0.291831558,1.224193453,0.168073835,1.736329505,0.082505589,0.417964995,1.083516631
Cyp4f13,724.047509,0.338589657,1.264519826,0.172577046,1.961962299,0.049766874,0.319133204,1.303059638
Cyp4f14,796.3121452,1.025597854,2.035802848,0.208174769,4.926619404,8.37E-07,0.000105707,6.077274542
Cyp4f15,1826.200741,0.705648099,1.630877136,0.179204428,3.937671103,8.23E-05,0.003860027,4.084600165
Cyp4f16,109.4711357,-0.500945806,0.706643366,0.239311738,-2.093277205,0.036324416,0.268560762,1.439801359
Cyp4f17,225.0413324,0.726911819,1.655092466,0.233702569,3.110414327,0.001868251,0.039215374,2.728564777
Cyp4f18,116.1014262,-1.138126267,0.454349291,0.212237786,-5.362505375,8.21E-08,1.77E-05,7.085656843
Cyp4v3,4166.192614,0.333078265,1.259698315,0.147587701,2.256815869,0.024019583,0.209627517,1.619434537
Cyp51,99.85163345,0.475805652,1.390694617,0.214122384,2.222120091,0.026275191,0.221617835,1.580454118
Cyp7b1,108.2398627,0.694332324,1.618135391,0.229856906,3.020715528,0.002521782,0.048551432,2.59829246
Cys1,43.0019351,-0.764187159,0.588785008,0.268157447,-2.849770411,0.00437508,0.070138685,2.359014001
Cystm1,106.3915517,-0.588354591,0.66510103,0.219565258,-2.679634274,0.007370264,0.099315665,2.132516956
Cyth3,269.0764873,-0.316737604,0.802883403,0.190006298,-1.666984767,0.095517434,0.448840759,1.019917353
Cyth4,373.741947,-0.762065538,0.589651509,0.174652008,-4.363336817,1.28E-05,0.000895894,4.89279003
D15Ertd621e,1333.754089,0.258191272,1.195978348,0.140536293,1.837185733,0.066182481,0.375007144,1.179256956
D17H6S56E-5,535.6154552,-0.576215813,0.670720772,0.283449301,-2.03287082,0.042065576,0.292841004,1.37607316
D17Wsu92e,4772.746799,0.22772036,1.170983186,0.128292258,1.775012495,0.075895824,0.400706221,1.11978212
D2hgdh,174.7129822,0.35901541,1.282550302,0.218330473,1.64436693,0.100100432,0.458398568,0.999564048
D3Ertd751e,88.53050899,0.468170495,1.383354102,0.23882013,1.960347715,0.049955163,0.319858419,1.30141962
D8Ertd82e,43.16148519,-0.428303064,0.743135367,0.253733719,-1.688002156,0.091410815,0.440271243,1.039002419
Dact3,44.18489483,-0.609460095,0.655441945,0.276368978,-2.205240611,0.027437215,0.226912701,1.561659974
Dagla,35.57114925,-0.445909515,0.73412136,0.275997883,-1.615626577,0.106175074,0.4719262,0.973977428
Dars,707.1732353,0.32247651,1.250475255,0.165496369,1.948541295,0.051350229,0.323988826,1.289457615
Dbf4,99.51974963,-0.556633841,0.679886656,0.289758391,-1.92102751,0.054728239,0.335118552,1.261788526
Dbi,4406.945881,0.415159761,1.333446332,0.148127154,2.802725553,0.005067277,0.076797531,2.295225355
Dbn1,60.62964293,-0.730660577,0.602627921,0.252027401,-2.899131502,0.003741979,0.062730376,2.426898654
Dbndd2,160.1319342,-0.575691019,0.670964797,0.205757559,-2.79790945,0.005143453,0.077605513,2.288745224
Dbt,1212.075779,0.555924529,1.470110429,0.151517363,3.669048335,0.000243455,0.008653844,3.613581302
Dcaf11,4337.798942,0.402459142,1.321758992,0.148109948,2.717299873,0.006581695,0.091580068,2.181662247
Dcdc2a,104.4736555,-0.688850571,0.620347899,0.231786702,-2.971915841,0.002959478,0.054183498,2.528784884
Dcn,5016.990739,-0.290860575,0.817414321,0.13864288,-2.097912102,0.035912911,0.267274888,1.444749391
Dcun1d4,637.5310235,0.41764155,1.335742161,0.197343713,2.116315462,0.034317987,0.260047363,1.464478195
Dcxr,1508.479444,0.460726513,1.376234689,0.180152772,2.557421166,0.010545146,0.124714184,1.976947403
Ddah2,74.6153829,-0.458159806,0.72791414,0.26646687,-1.719387501,0.085543837,0.425879227,1.067811274
Ddi2,1167.626492,0.573476431,1.488105108,0.161732067,3.545842461,0.00039136,0.012643408,3.407423565
Ddit3,86.09833126,-0.375609969,0.770779459,0.225373903,-1.666608085,0.09559236,0.448840759,1.019576816
Ddit4l,50.83568831,-0.747753571,0.59553014,0.279242002,-2.677797624,0.007410798,0.099605333,2.130135024
Ddo,135.587522,0.484971017,1.399557749,0.26717793,1.815161216,0.069499138,0.383930087,1.158020582
Ddost,1117.761142,-0.481590768,0.716187494,0.177737202,-2.709566496,0.00673712,0.092943121,2.171525717
Ddr1,161.1206749,-1.217264304,0.430097514,0.214687899,-5.669925085,1.43E-08,3.96E-06,7.844663963
Ddt,4913.773962,0.361230573,1.284521086,0.130749113,2.762776468,0.0057312,0.082826552,2.241754436
Ddx17,1570.063997,0.463975318,1.379337323,0.222436944,2.085873454,0.036990087,0.271186551,1.431914647
Ddx3x,2868.186726,0.300502317,1.231573148,0.185797005,1.617369005,0.105798652,0.471480382,0.975519866
Ddx60,78.24305997,0.770145284,1.705441518,0.23304224,3.304745458,0.000950627,0.024359338,3.021989855
Decr1,3900.048918,0.406571185,1.325531711,0.138086194,2.944328986,0.003236558,0.057363488,2.489916606
Decr2,4082.987744,0.493705536,1.408056804,0.150795584,3.274005272,0.001060346,0.02642789,2.974552398
Def8,1103.534578,0.471234427,1.38629513,0.132261813,3.562891039,0.000366793,0.01209469,3.435578961
Dennd5b,1280.273735,0.29388175,1.225934373,0.170536015,1.723282618,0.08483743,0.424218342,1.071412496
Dennd6b,123.6738122,0.375222144,1.297039255,0.219412961,1.710118409,0.087243979,0.428087811,1.059264535
Dgat1,498.2961908,0.436412152,1.353234771,0.144520865,3.019717263,0.002530108,0.048551432,2.59686094
Dhcr24,4916.911844,0.280260023,1.214413744,0.163199313,1.717286781,0.085926786,0.426142151,1.065871432
Dhcr7,311.5996911,-0.517142425,0.6987545,0.185832269,-2.782845133,0.005388452,0.079578821,2.268535981
Dhdh,1158.746006,0.344464122,1.269679283,0.209595539,1.643470676,0.100285588,0.458854207,0.998761475
Dhrs1,1008.864452,0.259532172,1.197090457,0.15460082,1.678724428,0.093205763,0.444242255,1.030557234
Dhrs9,70.32650429,-0.529534419,0.692778268,0.240724001,-2.199757471,0.027824107,0.22915347,1.555578765
Dhtkd1,895.5967017,0.719354647,1.646445374,0.143969786,4.996566758,5.84E-07,8.09E-05,6.233587153
Dhx15,865.0052033,0.264297918,1.20105142,0.165436881,1.597575567,0.110137468,0.479516965,0.958064912
Dio1,1172.118032,0.603915499,1.519835835,0.215732358,2.799373752,0.005120183,0.077415475,2.290714517
Disp2,40.36713327,0.43644528,1.353265844,0.26433107,1.651131209,0.098711786,0.454751299,1.00563099
Dkk3,190.4485981,-0.875951239,0.544894472,0.215638086,-4.062136026,4.86E-05,0.002601933,4.313363731
Dld,1404.859433,0.329700035,1.256752043,0.15392872,2.141900711,0.032201473,0.250410111,1.492124262
Dleu2,50.73903453,0.70608697,1.631373328,0.269428243,2.620686543,0.008775291,0.110937389,2.056738473
Dlgap1,10.27273628,0.744252486,1.67510611,0.294852842,2.524148929,0.011597878,0.131907776,1.935621464
Dlgap5,33.11153845,-0.481525069,0.716220109,0.297424819,-1.618980795,0.105451395,0.4706769,0.976947671
Dlst,3756.364073,0.412252654,1.330762072,0.129180577,3.191289771,0.001416391,0.032449859,2.848816841
Dmgdh,4636.977667,0.624774081,1.541969342,0.147020187,4.249580251,2.14E-05,0.001416084,4.669586227
Dmrta1,11.74130752,0.496889138,1.4111674,0.287925471,1.7257561,0.084391301,0.423316583,1.073702318
Dmxl2,554.0783537,0.480244213,1.394979782,0.173296142,2.771234294,0.005584423,0.081462962,2.253021693
Dnaja4,107.8084274,0.393697534,1.313756164,0.213337267,1.845423161,0.064976007,0.371320564,1.187246981
Dnajc10,625.9719616,-0.511694219,0.701398272,0.154427316,-3.313495522,0.000921376,0.023995259,3.035563104
Dnajc21,340.6205061,0.388448464,1.308984908,0.191058905,2.033134564,0.04203893,0.292841004,1.376348346
Dnajc28,124.7502825,0.516015218,1.430000071,0.25075087,2.05788007,0.039601647,0.282007043,1.402286752
Dnase1l1,135.872145,-0.651117244,0.636786986,0.214880254,-3.030139956,0.002444404,0.047550372,2.611827014
Dnase1l3,916.3090091,0.437261013,1.354031229,0.149318173,2.928384427,0.003407285,0.059480658,2.467591539
Dnase2a,425.3187643,-0.496518147,0.7088154,0.173115907,-2.868125499,0.004129117,0.067227168,2.384142811
Dnm1,14.7283166,-0.533188475,0.691025821,0.299611558,-1.779599155,0.075141585,0.399458724,1.124119648
Dnmbp,1273.384161,0.383981894,1.30493857,0.234129238,1.640042469,0.100996337,0.460514619,0.995694377
Dnmt1,201.8307574,-0.363989001,0.777013193,0.192982189,-1.886127437,0.059277784,0.350855194,1.22710804
Dnmt3a,732.2888349,-0.537460718,0.688982518,0.141666857,-3.793835265,0.000148338,0.00602848,3.828747581
Dock4,319.2970329,0.3179413,1.246550474,0.160481116,1.981175779,0.047571564,0.311792878,1.32265257
Dock5,396.5743548,0.3457644,1.27082414,0.18455097,1.873544204,0.060993275,0.358018709,1.214718047
Dock9,306.1252899,0.353499699,1.277656218,0.174335026,2.027703256,0.042590543,0.294738569,1.370686823
