Gene,baseMean,log2_FoldChange,FC,lfcSE,stat,pvalue,padj,minus_log10_pvalue
Casp7,297.6668578,0.324848069,1.252532527,0.196516203,1.653034529,0.098323836,0.454300122,1.007341186
Casz1,71.43113584,-0.551105443,0.682496975,0.266488808,-2.06802472,0.038637699,0.278405235,1.412988745
Cat,20361.78883,0.397446666,1.317174663,0.199164083,1.995573995,0.045980312,0.306781807,1.337428086
Cav2,69.93923856,-0.670630146,0.628232226,0.240867335,-2.784230361,0.005365491,0.079522687,2.270390529
Cbfa2t3,227.6228983,0.91230035,1.882043992,0.277949291,3.282254641,0.001029806,0.025919822,2.987244582
Cbr1,2265.589296,-0.416659341,0.749157342,0.140127217,-2.973436209,0.002944856,0.05399326,2.530935937
Cbr3,78.14208832,-1.296500755,0.407112449,0.266485955,-4.865174819,1.14E-06,0.000136383,5.943095149
Cbs,5541.559964,0.340346411,1.266060556,0.150639051,2.259350465,0.023861593,0.208703077,1.622300566
Cbx6,278.2289402,-0.58765153,0.665425229,0.175185761,-3.35444802,0.000795235,0.021637511,3.099504514
Cbx7,224.5590011,0.490511513,1.404942915,0.204393553,2.399838475,0.016402308,0.16507086,1.785095037
Cc2d1a,259.2077263,-0.321747521,0.800100138,0.201093128,-1.599992622,0.10960022,0.478212075,0.960188574
Cc2d1b,312.3513718,-0.349668813,0.784764229,0.188816072,-1.851901742,0.064039934,0.367948489,1.193549124
Ccdc109b,14.91319614,-0.93036361,0.524726076,0.299161743,-3.109901693,0.001871496,0.039215374,2.727811097
Ccdc124,431.8206,-0.331512975,0.794702631,0.172170405,-1.925493376,0.054167664,0.33360693,1.266259893
Ccdc141,211.2998377,0.646021558,1.564846946,0.217162372,2.974831933,0.002931491,0.053859246,2.532911435
Ccdc171,45.14764023,0.507425969,1.421511695,0.266795612,1.901927715,0.057180605,0.344027206,1.242751254
Ccdc3,97.31098689,-0.893792975,0.538197288,0.252455204,-3.540402257,0.000399518,0.012857278,3.398463649
Ccdc34,54.97788707,-0.749580624,0.594776428,0.268025638,-2.796675083,0.005163143,0.077687094,2.287085846
Ccdc80,1001.523205,-0.95713053,0.515080372,0.199335688,-4.801601451,1.57E-06,0.000173155,5.804100348
Ccdc85b,228.2143357,-0.311297532,0.805916607,0.181641347,-1.713803257,0.086564865,0.427222584,1.062658344
Ccdc88a,108.4792259,-0.580450236,0.66875504,0.233354832,-2.487414688,0.012867531,0.140751574,1.890504777
Ccl2,41.57614933,-0.81459367,0.5685686,0.299601173,-2.718926838,0.006549409,0.091340996,2.183797888
Ccl25,29.28060421,0.59525616,1.510740804,0.283445629,2.10007176,0.035722529,0.266894141,1.447057803
Ccnd2,145.8692285,0.359003048,1.282539312,0.207299176,1.731811266,0.083307172,0.419747046,1.079317608
Ccnd3,652.0636797,0.477473989,1.39230375,0.14908309,3.202737403,0.00136128,0.031815568,2.866052536
Ccnl2,757.888652,0.296253106,1.227951096,0.170267374,1.739928791,0.081871523,0.416904429,1.086867131
Ccpg1,1244.87167,0.307295738,1.237386104,0.165237781,1.859718373,0.062925381,0.364146471,1.201174146
Ccpg1os,51.90562306,0.446062644,1.362317187,0.265193013,1.682030154,0.092562993,0.442395637,1.033562611
Ccr1,25.91718311,-1.357545739,0.390245597,0.292314745,-4.644123376,3.42E-06,0.000304768,5.465973894
Ccr2,52.36166896,-0.834216701,0.560887486,0.287464709,-2.901979529,0.003708128,0.062426672,2.430845283
Ccrl2,76.40894696,-0.487821196,0.713101233,0.249852648,-1.952435562,0.050886514,0.323153726,1.2933973
Ccs,1713.039639,0.29676041,1.228382964,0.159101748,1.86522407,0.062150003,0.362144378,1.206558846
Cd14,408.3528224,-0.499137372,0.707529707,0.181839537,-2.744933136,0.006052323,0.085815212,2.218077903
Cd19,19.90356672,0.570850056,1.485398531,0.294368792,1.939234294,0.052472816,0.328399018,1.280065628
Cd1d1,1478.341925,0.404240883,1.323392384,0.146372134,2.761733885,0.005749532,0.082997486,2.240367505
Cd200,26.23210609,-0.73004082,0.602886855,0.287463197,-2.539597516,0.01109801,0.128513347,1.954754888
Cd22,141.7097107,-0.592674341,0.663112547,0.232546408,-2.548628229,0.010814752,0.126380083,1.965983435
